,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
199,BS810-16,11261,Full,B,173,1,0,0,1,7,11,11,NA,,,2020,Snyder,1,5,Winter DH Germination
200,BS810-16,11261,Full,B,173,2,0,0,2,15,6,7,NA,,,2020,Snyder,1,5,Winter DH Germination
201,BS811-19,11264,Full,B,176,1,0,0,1,3,9,17,NA,,,2020,Snyder,1,5,Winter DH Germination
202,BS811-19,11264,Full,B,176,2,0,0,0,8,9,13,NA,,,2020,Snyder,1,5,Winter DH Germination
204,BS811-24,11269,Full,B,181,2,0,0,6,16,4,4,NA,,,2020,Snyder,1,5,Winter DH Germination
203,BS811-24,11269,Full,B,181,1,0,0,4,18,6,2,NA,,,2020,Snyder,1,5,Winter DH Germination
206,BS811-25,11270,Full,B,182,2,0,0,0,4,11,15,NA,,,2020,Snyder,1,5,Winter DH Germination
205,BS811-25,11270,Full,B,182,1,0,0,0,5,6,14,NA,,,2020,Snyder,1,5,Winter DH Germination
208,BS811-26,11271,Full,B,183,2,1,7,7,4,4,7,NA,,,2020,Snyder,1,5,Winter DH Germination
207,BS811-26,11271,Full,B,183,1,0,8,5,8,4,5,NA,,,2020,Snyder,1,5,Winter DH Germination
209,BS811-32,11277,Full,B,189,1,0,1,0,2,9,18,NA,,,2020,Snyder,1,5,Winter DH Germination
210,BS811-32,11277,Full,B,189,2,0,0,1,2,1,26,NA,,,2020,Snyder,1,5,Winter DH Germination
211,BS811-36,11281,Full,B,192,1,0,0,2,5,7,16,NA,,,2020,Snyder,1,5,Winter DH Germination
212,BS811-36,11281,Full,B,192,2,0,0,2,8,10,10,NA,,,2020,Snyder,1,5,Winter DH Germination
213,BS811-39,11284,Full,B,195,1,0,0,7,11,9,3,NA,,,2020,Snyder,1,5,Winter DH Germination
214,BS811-39,11284,Full,B,195,2,0,3,4,12,8,3,NA,,,2020,Snyder,1,5,Winter DH Germination
215,BS811-40,11285,Full,B,196,1,0,2,6,7,7,8,NA,,,2020,Snyder,1,5,Winter DH Germination
216,BS811-40,11285,Full,B,196,2,0,0,9,9,7,5,NA,,,2020,Snyder,1,5,Winter DH Germination
217,BS811-42,11287,Full,B,198,1,0,0,2,2,8,18,NA,,,2020,Snyder,1,5,Winter DH Germination
218,BS811-42,11287,Full,B,198,2,0,0,0,2,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
219,BS811-43,11288,Full,B,199,1,0,0,1,1,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
220,BS811-43,11288,Full,B,199,2,0,0,1,3,3,23,NA,,,2020,Snyder,1,5,Winter DH Germination
221,BS812-45,11290,Full,B,201,1,0,14,8,3,4,1,NA,,,2020,Snyder,1,5,Winter DH Germination
222,BS812-45,11290,Full,B,201,2,0,7,13,7,2,0,NA,,,2020,Snyder,1,5,Winter DH Germination
223,BS812-46,11291,Full,B,202,1,0,1,3,12,10,4,NA,,,2020,Snyder,1,5,Winter DH Germination
224,BS812-46,11291,Full,B,202,2,0,2,3,12,10,3,NA,,,2020,Snyder,1,5,Winter DH Germination
225,BS812-47,11292,Full,B,203,1,0,0,0,1,16,13,NA,,,2020,Snyder,1,5,Winter DH Germination
226,BS812-47,11292,Full,B,203,2,0,0,1,4,8,17,NA,,,2020,Snyder,1,5,Winter DH Germination
228,BS812-48,11293,Full,B,204,2,0,0,0,3,3,24,NA,,,2020,Snyder,1,5,Winter DH Germination
227,BS812-48,11293,Full,B,204,1,0,0,2,6,6,16,NA,,,2020,Snyder,1,5,Winter DH Germination
229,BS812-49,11294,Full,B,205,1,4,16,7,1,1,1,NA,,,2020,Snyder,1,5,Winter DH Germination
230,BS812-49,11294,Full,B,205,2,11,10,5,3,0,1,NA,,,2020,Snyder,1,5,Winter DH Germination
231,BS812-52,11297,Full,B,207,1,0,0,1,7,9,13,NA,,,2020,Snyder,1,5,Winter DH Germination
232,BS812-52,11297,Full,B,207,2,0,0,2,8,6,14,NA,,,2020,Snyder,1,5,Winter DH Germination
233,BS812-54,11299,Full,B,209,1,0,0,3,7,7,13,NA,,,2020,Snyder,1,5,Winter DH Germination
234,BS812-54,11299,Full,B,209,2,0,1,3,15,7,4,NA,,,2020,Snyder,1,5,Winter DH Germination
235,Check 1-Flavia,11300,Full,B,210,1,1,10,13,2,2,2,NA,,,2020,Snyder,1,5,Winter DH Germination
236,Check 1-Flavia,11300,Full,B,210,2,1,7,12,4,1,5,NA,,,2020,Snyder,1,5,Winter DH Germination
238,Check 3-DH130913,11302,Full,C,211,2,0,2,6,6,6,10,NA,,,2020,Snyder,1,5,Winter DH Germination
237,Check 3-DH130912,11302,Full,C,211,1,0,0,2,12,6,10,NA,,,2020,Snyder,1,5,Winter DH Germination
239,BS812-57,11307,Full,B,214,1,0,0,0,5,13,12,NA,,,2020,Snyder,1,5,Winter DH Germination
240,BS812-57,11307,Full,B,214,2,0,0,0,5,7,18,NA,,,2020,Snyder,1,5,Winter DH Germination
242,BS812-59,11309,Full,B,216,2,0,6,8,9,6,1,NA,,,2020,Snyder,1,5,Winter DH Germination
241,BS812-59,11309,Full,B,216,1,1,5,9,14,1,0,NA,,,2020,Snyder,1,5,Winter DH Germination
244,BS812-61,11311,Full,B,218,2,0,2,3,10,11,4,NA,,,2020,Snyder,1,5,Winter DH Germination
243,BS812-61,11311,Full,B,218,1,0,2,4,11,6,7,NA,,,2020,Snyder,1,5,Winter DH Germination
245,BS812-63,11313,Full,B,220,1,0,0,0,3,14,13,NA,,,2020,Snyder,1,5,Winter DH Germination
246,BS812-63,11313,Full,B,220,2,0,0,0,4,11,15,NA,,,2020,Snyder,1,5,Winter DH Germination
247,BS812-65,11315,Full,B,221,1,0,0,0,1,3,26,NA,,,2020,Snyder,1,5,Winter DH Germination
248,BS812-65,11315,Full,B,221,2,0,0,1,2,5,22,NA,,,2020,Snyder,1,5,Winter DH Germination
249,BS812-66,11316,Full,B,222,1,0,1,1,2,4,23,NA,,,2020,Snyder,1,5,Winter DH Germination
250,BS812-66,11316,Full,B,222,2,0,0,2,5,7,16,NA,,,2020,Snyder,1,5,Winter DH Germination
251,BS812-67,11317,Full,B,223,1,0,0,0,2,6,23,NA,,,2020,Snyder,1,5,Winter DH Germination
252,BS812-67,11317,Full,B,223,2,0,0,0,3,9,19,NA,,,2020,Snyder,1,5,Winter DH Germination
253,BS812-68,11318,Full,B,224,1,0,0,4,6,4,16,NA,,,2020,Snyder,1,5,Winter DH Germination
254,BS812-68,11318,Full,B,224,2,0,0,2,7,6,10,NA,,,2020,Snyder,1,5,Winter DH Germination
255,BS812-69,11319,Full,B,225,1,0,0,0,6,11,13,NA,,,2020,Snyder,1,5,Winter DH Germination
256,BS812-69,11319,Full,B,225,2,0,0,1,10,8,11,NA,,,2020,Snyder,1,5,Winter DH Germination
258,BS812-70,11320,Full,B,226,2,0,0,1,1,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
257,BS812-70,11320,Full,B,226,1,0,0,1,3,7,19,NA,,,2020,Snyder,1,5,Winter DH Germination
260,BS812-71,11321,Full,B,227,2,0,0,1,3,12,14,NA,,,2020,Snyder,1,5,Winter DH Germination
259,BS812-71,11321,Full,B,227,1,0,0,4,8,6,11,NA,,,2020,Snyder,1,5,Winter DH Germination
262,BS812-73,11323,Full,B,229,2,0,2,9,8,5,5,NA,,,2020,Snyder,1,5,Winter DH Germination
261,BS812-73,11323,Full,B,229,1,0,4,8,9,6,3,NA,,,2020,Snyder,1,5,Winter DH Germination
264,BS812-76,11326,Full,B,230,2,2,2,1,7,7,11,NA,,,2020,Snyder,1,5,Winter DH Germination
263,BS812-76,11326,Full,B,230,1,0,4,2,10,7,7,NA,,,2020,Snyder,1,5,Winter DH Germination
266,BS812-77,11327,Full,B,231,2,0,4,6,6,3,11,NA,,,2020,Snyder,1,5,Winter DH Germination
265,BS812-77,11327,Full,B,231,1,0,0,8,11,8,3,NA,,,2020,Snyder,1,5,Winter DH Germination
268,BS812-79,11329,Full,B,232,2,0,0,0,0,1,29,NA,,,2020,Snyder,1,5,Winter DH Germination
267,BS812-79,11329,Full,B,232,1,9,0,0,1,1,28,NA,,,2020,Snyder,1,5,Winter DH Germination
270,BS812-80,11330,Full,B,233,2,1,19,8,1,0,1,NA,,,2020,Snyder,1,5,Winter DH Germination
269,BS812-80,11330,Full,B,233,1,2,14,9,4,1,0,NA,,,2020,Snyder,1,5,Winter DH Germination
272,BS813-86,11336,Full,B,236,2,0,10,8,5,2,4,NA,,,2020,Snyder,1,5,Winter DH Germination
271,BS813-86,11336,Full,B,236,1,3,6,10,7,3,1,NA,,,2020,Snyder,1,5,Winter DH Germination
273,BS813-88,11338,Full,B,238,1,0,2,2,6,7,13,NA,,,2020,Snyder,1,5,Winter DH Germination
274,BS813-88,11338,Full,B,238,2,0,0,5,6,5,14,NA,,,2020,Snyder,1,5,Winter DH Germination
276,BS813-90,11340,Full,B,239,2,0,0,4,7,12,7,NA,,,2020,Snyder,1,5,Winter DH Germination
275,BS813-90,11340,Full,B,239,1,0,1,3,12,6,8,NA,,,2020,Snyder,1,5,Winter DH Germination
277,BS813-91,11341,Full,B,240,1,1,4,10,9,3,3,NA,,,2020,Snyder,1,5,Winter DH Germination
278,BS813-91,11341,Full,B,240,2,0,3,13,11,3,0,NA,,,2020,Snyder,1,5,Winter DH Germination
279,BS813-94,11344,Full,B,243,1,0,0,0,0,3,27,NA,,,2020,Snyder,1,5,Winter DH Germination
280,BS813-94,11344,Full,B,243,2,0,0,0,0,3,27,NA,,,2020,Snyder,1,5,Winter DH Germination
282,BS813-95,11345,Full,B,244,2,0,0,4,4,2,20,NA,,,2020,Snyder,1,5,Winter DH Germination
281,BS813-95,11345,Full,B,244,1,0,0,1,7,6,16,NA,,,2020,Snyder,1,5,Winter DH Germination
283,BS813-99,11349,Full,B,248,1,0,0,0,4,10,16,NA,,,2020,Snyder,1,5,Winter DH Germination
284,BS813-99,11349,Full,B,248,2,0,0,1,6,8,15,NA,,,2020,Snyder,1,5,Winter DH Germination
285,Check 6-Charles,11350,Full,C,249,1,7,12,2,4,4,1,NA,,,2020,Snyder,1,5,Winter DH Germination
286,Check 6-Charles,11350,Full,C,249,2,10,5,4,4,4,3,NA,,,2020,Snyder,1,5,Winter DH Germination
288,BS813-100,11352,Full,B,250,2,0,0,1,9,9,11,NA,,,2020,Snyder,1,5,Winter DH Germination
287,BS813-100,11352,Full,B,250,1,0,0,2,11,8,9,NA,,,2020,Snyder,1,5,Winter DH Germination
289,BS813-101,11353,Full,B,251,1,0,0,4,7,14,5,NA,,,2020,Snyder,1,5,Winter DH Germination
290,BS813-101,11353,Full,B,251,2,0,0,3,13,9,5,NA,,,2020,Snyder,1,5,Winter DH Germination
291,BS813-103,11355,Full,B,253,1,0,0,1,1,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
292,BS813-103,11355,Full,B,253,2,0,0,1,1,4,24,NA,,,2020,Snyder,1,5,Winter DH Germination
293,BS813-107,11359,Full,B,255,1,0,17,9,1,1,2,NA,,,2020,Snyder,1,5,Winter DH Germination
294,BS813-107,11359,Full,B,255,2,0,12,10,6,1,0,NA,,,2020,Snyder,1,5,Winter DH Germination
295,BS813-110,11362,Full,B,258,1,0,1,0,0,4,25,NA,,,2020,Snyder,1,5,Winter DH Germination
296,BS813-110,11362,Full,B,258,2,0,0,1,2,6,21,NA,,,2020,Snyder,1,5,Winter DH Germination
298,BS813-111,11363,Full,B,259,2,0,0,4,5,11,10,NA,,,2020,Snyder,1,5,Winter DH Germination
297,BS813-111,11363,Full,B,259,1,0,0,5,9,10,6,NA,,,2020,Snyder,1,5,Winter DH Germination
299,BS813-113,11365,Full,B,261,1,4,7,8,1,2,8,NA,,,2020,Snyder,1,5,Winter DH Germination
300,BS813-113,11365,Full,B,261,2,2,14,5,2,1,6,NA,,,2020,Snyder,1,5,Winter DH Germination
301,BS813-115,11367,Full,B,262,1,0,2,5,4,6,13,NA,,,2020,Snyder,1,5,Winter DH Germination
302,BS813-115,11367,Full,B,262,2,0,0,5,5,9,11,NA,,,2020,Snyder,1,5,Winter DH Germination
303,BS813-118,11370,Full,B,265,1,0,0,4,10,10,6,NA,,,2020,Snyder,1,5,Winter DH Germination
304,BS813-118,11370,Full,B,265,2,0,0,5,10,11,5,NA,,,2020,Snyder,1,5,Winter DH Germination
306,BS814-120,11372,Full,B,267,2,0,0,1,5,13,11,NA,,,2020,Snyder,1,5,Winter DH Germination
305,BS814-120,11372,Full,B,267,1,0,0,1,7,11,11,NA,,,2020,Snyder,1,5,Winter DH Germination
307,BS814-121,11373,Full,B,268,1,0,0,3,4,3,20,NA,,,2020,Snyder,1,5,Winter DH Germination
308,BS814-121,11373,Full,B,268,2,0,0,1,11,10,8,NA,,,2020,Snyder,1,5,Winter DH Germination
310,BS814-126,11378,Full,B,273,2,0,0,3,4,4,19,NA,,,2020,Snyder,1,5,Winter DH Germination
309,BS814-126,11378,Full,B,273,1,0,0,3,7,11,9,NA,,,2020,Snyder,1,5,Winter DH Germination
311,BS814-127,11379,Full,B,274,1,0,11,12,1,3,3,NA,,,2020,Snyder,1,5,Winter DH Germination
312,BS814-127,11379,Full,B,274,2,1,8,11,7,3,0,NA,,,2020,Snyder,1,5,Winter DH Germination
313,BS814-130,11382,Full,B,276,1,0,6,12,5,4,4,NA,,,2020,Snyder,1,5,Winter DH Germination
314,BS814-130,11382,Full,B,276,2,0,8,13,5,2,2,NA,,,2020,Snyder,1,5,Winter DH Germination
316,BS814-132,11384,Full,B,278,2,0,1,3,7,6,13,NA,,,2020,Snyder,1,5,Winter DH Germination
315,BS814-132,11384,Full,B,278,1,0,0,3,10,7,10,NA,,,2020,Snyder,1,5,Winter DH Germination
317,BS814-135,11387,Full,B,281,1,1,10,13,4,0,2,NA,,,2020,Snyder,1,5,Winter DH Germination
318,BS814-135,11387,Full,B,281,2,0,3,21,4,2,0,NA,,,2020,Snyder,1,5,Winter DH Germination
319,BS814-138,11390,Full,B,284,1,0,2,14,5,2,7,NA,,,2020,Snyder,1,5,Winter DH Germination
320,BS814-138,11390,Full,B,284,2,1,10,8,5,4,2,NA,,,2020,Snyder,1,5,Winter DH Germination
321,BS814-139,11391,Full,B,285,1,0,0,3,9,11,7,NA,,,2020,Snyder,1,5,Winter DH Germination
322,BS814-139,11391,Full,B,285,2,0,0,2,14,8,6,NA,,,2020,Snyder,1,5,Winter DH Germination
323,BS814-140,11392,Full,B,286,1,0,0,2,4,2,22,NA,,,2020,Snyder,1,5,Winter DH Germination
324,BS814-140,11392,Full,B,286,2,0,0,2,4,4,20,NA,,,2020,Snyder,1,5,Winter DH Germination
326,BS906-7,11399,Full,B,292,2,0,0,1,11,10,8,NA,,,2020,Snyder,1,5,Winter DH Germination
325,BS906-7,11399,Full,B,292,1,0,0,2,15,7,6,NA,,,2020,Snyder,1,5,Winter DH Germination
327,Check 1-Flavia,11400,Full,B,293,1,0,12,14,2,1,1,NA,,,2020,Snyder,1,5,Winter DH Germination
328,Check 1-Flavia,11400,Full,B,293,2,0,11,12,3,2,2,NA,,,2020,Snyder,1,5,Winter DH Germination
329,Check 2-Scala,11401,Full,C,294,1,1,7,15,6,1,0,NA,,,2020,Snyder,1,5,Winter DH Germination
330,Check 2-Scala,11401,Full,C,294,2,0,4,13,10,3,0,NA,,,2020,Snyder,1,5,Winter DH Germination
331,Check 3-DH130914,11402,Full,C,295,1,0,0,4,8,9,9,NA,,,2020,Snyder,1,5,Winter DH Germination
332,Check 3-DH130915,11402,Full,C,295,2,0,0,3,12,7,8,NA,,,2020,Snyder,1,5,Winter DH Germination
334,Check 4-SY Tepee,11403,Full,C,296,2,5,11,8,1,3,2,NA,,,2020,Snyder,1,5,Winter DH Germination
333,Check 4-SY Tepee,11403,Full,C,296,1,2,9,8,6,3,2,NA,,,2020,Snyder,1,5,Winter DH Germination
335,Check 5-Wintmalt,11404,Full,C,297,1,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
336,Check 5-Wintmalt,11404,Full,C,297,2,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
337,BS906-9,11406,Full,B,299,1,0,1,4,8,6,11,NA,,,2020,Snyder,1,5,Winter DH Germination
338,BS906-9,11406,Full,B,299,2,0,0,5,9,4,12,NA,,,2020,Snyder,1,5,Winter DH Germination
340,BS906-10,11407,Full,B,300,2,0,2,11,4,10,9,NA,,,2020,Snyder,1,5,Winter DH Germination
339,BS906-10,11407,Full,B,300,1,0,0,3,8,7,6,NA,,,2020,Snyder,1,5,Winter DH Germination
341,BS908-12,11409,Full,B,302,1,0,14,12,2,0,2,NA,,,2020,Snyder,1,5,Winter DH Germination
342,BS908-12,11409,Full,B,302,2,0,10,14,3,0,2,NA,,,2020,Snyder,1,5,Winter DH Germination
344,BS908-13,11410,Full,B,303,2,0,0,2,10,11,7,NA,,,2020,Snyder,1,5,Winter DH Germination
343,BS908-13,11410,Full,B,303,1,0,0,1,12,10,7,NA,,,2020,Snyder,1,5,Winter DH Germination
345,BS908-14,11411,Full,B,304,1,0,0,1,10,10,9,NA,,,2020,Snyder,1,5,Winter DH Germination
346,BS908-14,11411,Full,B,304,2,0,0,2,10,15,4,NA,,,2020,Snyder,1,5,Winter DH Germination
348,BS908-16,11413,Full,B,306,2,1,1,8,3,8,9,NA,,,2020,Snyder,1,5,Winter DH Germination
347,BS908-16,11413,Full,B,306,1,1,1,12,5,2,9,NA,,,2020,Snyder,1,5,Winter DH Germination
349,BS908-20,11417,Full,B,309,1,2,11,12,4,1,1,NA,,,2020,Snyder,1,5,Winter DH Germination
350,BS908-20,11417,Full,B,309,2,0,5,16,7,0,2,NA,,,2020,Snyder,1,5,Winter DH Germination
352,BS908-22,11419,Full,B,311,2,0,2,9,8,8,3,NA,,,2020,Snyder,1,5,Winter DH Germination
351,BS908-22,11419,Full,B,311,1,0,1,6,12,9,2,NA,,,2020,Snyder,1,5,Winter DH Germination
353,BS908-25,11422,Full,B,314,1,0,11,15,0,0,4,NA,,,2020,Snyder,1,5,Winter DH Germination
354,BS908-25,11422,Full,B,314,2,0,8,17,3,1,1,NA,,,2020,Snyder,1,5,Winter DH Germination
355,BS908-26,11423,Full,B,315,1,0,0,4,4,9,13,NA,,,2020,Snyder,1,5,Winter DH Germination
356,BS908-26,11423,Full,B,315,2,0,1,4,8,5,12,NA,,,2020,Snyder,1,5,Winter DH Germination
357,BS908-29,11426,Full,B,318,1,0,6,16,7,1,0,NA,,,2020,Snyder,1,5,Winter DH Germination
358,BS908-29,11426,Full,B,318,2,0,7,13,7,0,3,NA,,,2020,Snyder,1,5,Winter DH Germination
360,BS908-30,11427,Full,B,319,2,0,0,1,7,11,11,NA,,,2020,Snyder,1,5,Winter DH Germination
359,BS908-30,11427,Full,B,319,1,0,0,1,8,9,12,NA,,,2020,Snyder,1,5,Winter DH Germination
361,BS911-35,11432,Full,B,324,1,0,0,4,3,1,2,NA,,,2020,Snyder,1,5,Winter DH Germination
362,BS911-35,11432,Full,B,324,2,0,2,5,9,4,10,NA,,SPILLED,2020,Snyder,1,5,Winter DH Germination
363,BS911-38,11435,Full,B,325,1,1,7,14,4,3,1,NA,,,2020,Snyder,1,5,Winter DH Germination
364,BS911-38,11435,Full,B,325,2,1,5,10,8,3,4,NA,,,2020,Snyder,1,5,Winter DH Germination
365,BS911-41,11438,Full,B,327,1,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
366,BS911-41,11438,Full,B,327,2,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
367,BS911-42,11439,Full,B,328,1,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
368,BS911-42,11439,Full,B,328,2,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
370,BS911-49,11446,Full,B,329,2,0,12,9,3,2,4,NA,,,2020,Snyder,1,5,Winter DH Germination
369,BS911-49,11446,Full,B,329,1,1,12,8,5,1,3,NA,,,2020,Snyder,1,5,Winter DH Germination
372,BS911-53,11452,Full,B,332,2,0,7,16,2,5,0,NA,,,2020,Snyder,1,5,Winter DH Germination
371,BS911-53,11452,Full,B,332,1,0,3,13,8,5,1,NA,,,2020,Snyder,1,5,Winter DH Germination
373,BS911-60,11459,Full,B,336,1,0,0,4,7,6,12,NA,,,2020,Snyder,1,5,Winter DH Germination
374,BS911-60,11459,Full,B,336,2,0,1,7,8,6,8,NA,,,2020,Snyder,1,5,Winter DH Germination
375,BS911-63,11462,Full,B,339,1,3,19,8,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
376,BS911-63,11462,Full,B,339,2,3,19,8,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
377,BS911-65,11464,Full,B,341,1,0,1,10,11,3,5,NA,,,2020,Snyder,1,5,Winter DH Germination
378,BS911-65,11464,Full,B,341,2,0,3,7,11,3,6,NA,,,2020,Snyder,1,5,Winter DH Germination
379,BS911-67,11466,Full,B,343,1,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
380,BS911-67,11466,Full,B,343,2,NA,NA,NA,NA,NA,NA,NA,,,2020,Snyder,1,5,Winter DH Germination
382,BS911-69,11468,Full,B,344,2,0,15,9,1,3,2,NA,,,2020,Snyder,1,5,Winter DH Germination
381,BS911-69,11468,Full,B,344,1,1,10,9,3,1,6,NA,,,2020,Snyder,1,5,Winter DH Germination
383,BS911-71,11470,Full,B,346,1,0,1,5,8,4,12,NA,,,2020,Snyder,1,5,Winter DH Germination
384,BS911-71,11470,Full,B,346,2,0,1,9,8,3,9,NA,,,2020,Snyder,1,5,Winter DH Germination
386,BS911-72,11471,Full,B,347,2,1,11,15,3,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
385,BS911-72,11471,Full,B,347,1,0,12,10,4,2,1,NA,,,2020,Snyder,1,5,Winter DH Germination
388,BS911-73,11472,Full,B,348,2,0,20,7,1,1,1,NA,,,2020,Snyder,1,5,Winter DH Germination
387,BS911-73,11472,Full,B,348,1,2,16,8,2,2,0,NA,,,2020,Snyder,1,5,Winter DH Germination
389,BS911-77,11476,Full,B,352,1,0,11,13,4,0,2,NA,,,2020,Snyder,1,5,Winter DH Germination
390,BS911-77,11476,Full,B,352,2,0,12,13,5,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
391,BS911-82,11481,Full,B,357,1,0,1,4,5,10,10,NA,,,2020,Snyder,1,5,Winter DH Germination
392,BS911-82,11481,Full,B,357,2,0,0,4,6,6,14,NA,,,2020,Snyder,1,5,Winter DH Germination
393,BS911-85,11484,Full,B,360,1,6,18,6,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
